"","var","ID1","ID2","mean","median","pc2.5","pc97.5","overlap0","gel","DOY","TIMESTAMP"
"512","T.pred",142,NA,0.0979035635598984,0.0974330619192225,0.0668109425596558,0.131205950914412,FALSE,1.00017852998048,217,2018-08-05 14:00:00
"513","T.pred",143,NA,0.0948439617962445,0.0947100520636214,0.062083516275247,0.127770492069297,FALSE,1.00020523283838,217,2018-08-05 15:00:00
"514","T.pred",144,NA,0.0954604992320368,0.0952667415033934,0.0641406087091662,0.127308904022877,FALSE,1.00014267688044,218,2018-08-06 09:00:00
"515","T.pred",145,NA,0.0969726108460304,0.0965408771380813,0.0699293167665505,0.12654645077217,FALSE,1.00013558036793,218,2018-08-06 10:00:00
"516","T.pred",146,NA,0.0974635003091114,0.0970329426502754,0.0734751137301347,0.123597305328732,FALSE,0.999999045813109,218,2018-08-06 11:00:00
"517","T.pred",147,NA,0.096573363856606,0.0959849375154531,0.0674335256615871,0.128266079015515,FALSE,0.999959547926628,218,2018-08-06 12:00:00
"518","T.pred",148,NA,0.0931930500895907,0.0929516337778851,0.0626984903634366,0.12454654572099,FALSE,0.999991262397082,218,2018-08-06 13:00:00
"519","T.pred",149,NA,0.0909557740208361,0.0908882143791743,0.0574140272616324,0.123881399408203,FALSE,1.00002445978361,218,2018-08-06 14:00:00
"520","T.pred",150,NA,0.0891119092836678,0.0899490216304864,0.0450410073323141,0.130029328105615,FALSE,1.00004384662284,218,2018-08-06 15:00:00
"521","T.pred",151,NA,0.0922187412578838,0.0926593406864913,0.0474626933666884,0.134527070059294,FALSE,1.0002741402905,219,2018-08-07 09:00:00
"522","T.pred",152,NA,0.094541039873093,0.0941036387304451,0.0667759066311327,0.124896608695921,FALSE,1.00007692468918,219,2018-08-07 10:00:00
"523","T.pred",153,NA,0.0958036716385661,0.0953334904964415,0.0693072755197181,0.1249525076197,FALSE,1.00020254903487,219,2018-08-07 11:00:00
"524","T.pred",154,NA,0.0976574996681886,0.0969240200835757,0.0710817176520881,0.127783673028157,FALSE,1.00000154639376,219,2018-08-07 12:00:00
"525","T.pred",155,NA,0.0938315708295849,0.0935139167014589,0.0686442493913142,0.120071482917978,FALSE,1.00019596561832,219,2018-08-07 13:00:00
