"","ID","param","mean","pc2.5","pc97.5","overlap0","gel"
"dYdX2069",2069,"dYdX",6.29270555669044,4.50098277787503,8.15060418248545,FALSE,0.99999115474996
"dYdX2070",2070,"dYdX",6.37683345235412,4.46832367061498,8.35058725351633,FALSE,1.00000388682491
"dYdX2071",2071,"dYdX",6.5592191004822,4.62910135157247,8.52877098914773,FALSE,1.00000205301906
"dYdX2072",2072,"dYdX",6.43809951378341,4.51612460977049,8.40799837574598,FALSE,0.999966259115184
"dYdX2073",2073,"dYdX",6.36641497722453,4.44340710444661,8.32717281530779,FALSE,0.999971208375685
"dYdX2074",2074,"dYdX",10.052495448056,7.85751858292248,12.4451196417982,FALSE,0.999962086273664
"dYdX2075",2075,"dYdX",9.11903656833186,7.12897523212758,11.3625170244526,FALSE,0.999974101501229
"dYdX2076",2076,"dYdX",8.71919008989308,6.74353723484193,10.8666251017576,FALSE,0.999988304106345
"dYdX2077",2077,"dYdX",8.61696527927662,6.77475721095096,10.5526345021049,FALSE,0.999987249174573
"dYdX2078",2078,"dYdX",8.21341606274969,6.43266120779374,10.0570721723948,FALSE,0.99998006823468
"dYdX2079",2079,"dYdX",7.76665593124358,6.08029688001721,9.49981311505034,FALSE,0.999977382910532
"dYdX2080",2080,"dYdX",7.49218835799881,5.81169688867714,9.22169000853758,FALSE,0.999983259906747
"dYdX2081",2081,"dYdX",7.10165227519772,5.33279779553597,8.92439323222254,FALSE,0.999995767174365
"dYdX2082",2082,"dYdX",6.91699498705009,5.09511916625701,8.80630661298567,FALSE,0.999987560019973
"dYdX2083",2083,"dYdX",6.63677244779214,4.70695973546677,8.6410959762894,FALSE,0.999991470075191
"dYdX2084",2084,"dYdX",6.38976522945209,4.58918693407552,8.2484103437636,FALSE,0.999984048416884
"dYdX2085",2085,"dYdX",6.46680036788118,4.63957038865089,8.33141673770141,FALSE,0.999990465320041
"dYdX2086",2086,"dYdX",6.0916635524776,4.35702297884959,7.88479486164928,FALSE,0.999999276507654
"dYdX2087",2087,"dYdX",6.0623121671591,4.36386084770876,7.7962042839477,FALSE,1.00000433975013
"dYdX2088",2088,"dYdX",5.71631781424088,4.06678149182651,7.4093057026349,FALSE,1.00003244108997
"dYdX2089",2089,"dYdX",5.57612981735029,3.89638127014639,7.29881180780986,FALSE,1.0000397447371
"dYdX2090",2090,"dYdX",5.87523249201254,4.18130886954251,7.58196557354186,FALSE,1.00004845226114
"dYdX2091",2091,"dYdX",5.75788549075625,4.11426734974069,7.43486417721202,FALSE,1.00002675651921
"dYdX2092",2092,"dYdX",5.74572625470696,4.16948436559919,7.34660215046228,FALSE,1.00002905111324
"dYdX2093",2093,"dYdX",8.44976379706354,6.81621030562947,10.1069721706503,FALSE,0.999989952431703
"dYdX2094",2094,"dYdX",8.15739008056989,6.52105491312915,9.79585120674036,FALSE,0.999996115215445
"dYdX2095",2095,"dYdX",8.07796197619732,6.4686291983077,9.70302304894774,FALSE,1.00000205046416
"dYdX2096",2096,"dYdX",7.90992748929433,6.32841300539475,9.51382050490318,FALSE,1.00000539205889
"dYdX2097",2097,"dYdX",7.65714570974366,6.16835308849951,9.16120932394482,FALSE,1.00000771913453
"dYdX2098",2098,"dYdX",7.59551707045491,6.03890680146886,9.15336367262632,FALSE,1.00001679014954
"dYdX2099",2099,"dYdX",7.28392761788509,5.84051752048207,8.7355947334227,FALSE,1.0000166358639
"dYdX2100",2100,"dYdX",6.79641841282623,5.48889739062176,8.10689806719117,FALSE,1.00004849609655
"dYdX2101",2101,"dYdX",6.23106671866652,4.99662395026358,7.47091387314515,FALSE,1.00013488743202
"dYdX2102",2102,"dYdX",5.72884203372954,4.47722802528058,6.97630936893506,FALSE,1.00021945981221
"dYdX2103",2103,"dYdX",5.63759161235298,4.27508076643634,6.98489740706519,FALSE,1.00023620965034
"dYdX2104",2104,"dYdX",5.74248869567681,4.32949213441102,7.14247006486509,FALSE,1.00018094107052
"dYdX2105",2105,"dYdX",5.46221267657975,4.15366539566658,6.75385871607447,FALSE,1.000144469987
"dYdX2106",2106,"dYdX",5.22560748297874,3.92755921938545,6.50807347250699,FALSE,1.00019299892669
"dYdX2107",2107,"dYdX",5.31855728780686,3.94333373326874,6.64967103252862,FALSE,1.00022805450209
"dYdX2108",2108,"dYdX",5.00501432505981,3.71928585620899,6.28423971908884,FALSE,1.00019162637059
"dYdX2109",2109,"dYdX",4.85712990706277,3.55984922413964,6.14293197126399,FALSE,1.00024862597853
"dYdX2110",2110,"dYdX",4.80715791700943,3.47103200226109,6.11787107973102,FALSE,1.00026738467428
"dYdX2111",2111,"dYdX",4.82626036584869,3.52238125011468,6.09598687821502,FALSE,1.00025119053545
"dYdX2112",2112,"dYdX",9.26835419396585,7.44598723955168,11.3079859040013,FALSE,0.999983791062236
"dYdX2113",2113,"dYdX",8.2124613956732,6.70434264682681,9.91059708605246,FALSE,0.999985781451517
"dYdX2114",2114,"dYdX",6.43011326713891,5.11968598687178,8.03506089824088,FALSE,1.00005037560835
"dYdX2115",2115,"dYdX",4.37801952282913,3.10216404085253,6.03750874292428,FALSE,1.00018491889215
"dYdX2116",2116,"dYdX",3.15384759742695,1.97993849356329,4.45704048959874,FALSE,1.00049672229598
"dYdX2117",2117,"dYdX",3.04545382276425,1.86876970008225,4.23059231109647,FALSE,1.00080093171309
"dYdX2118",2118,"dYdX",2.57660245093932,1.40672284385651,3.74804135877704,FALSE,1.00069141036487
"dYdX2119",2119,"dYdX",2.50778223719822,1.31146395268738,3.68782325331343,FALSE,1.00060003299724
"dYdX2120",2120,"dYdX",2.68880702528759,1.381188212684,3.89732636136877,FALSE,1.00055357170505
"dYdX2121",2121,"dYdX",3.16090879906725,1.69929095502296,4.37732945592256,FALSE,1.00043850854893
"dYdX2122",2122,"dYdX",3.94585386462174,2.25569821153928,5.1756217141959,FALSE,1.00039069616393
"dYdX2123",2123,"dYdX",4.38666536883296,2.72701395615473,5.61262435850213,FALSE,1.00033447935332
"dYdX2124",2124,"dYdX",4.51189414570996,2.94098293513745,5.68149323779655,FALSE,1.00031361224437
"dYdX2125",2125,"dYdX",4.34343284818643,2.92766591412744,5.47995077389102,FALSE,1.00036765693712
"dYdX2126",2126,"dYdX",4.54758137620914,3.09899875941241,5.71238072479342,FALSE,1.00043856256264
"dYdX2127",2127,"dYdX",4.78559567913947,3.26829722233047,6.01305218028053,FALSE,1.00044316079557
"dYdX2128",2128,"dYdX",5.16682883114027,3.32773303690169,6.58865721542235,FALSE,1.00038071837238
"dYdX2129",2129,"dYdX",5.41544164833036,3.16614285926235,7.14799634398423,FALSE,1.00032674213123
"dYdX2130",2130,"dYdX",5.13135030681793,2.92986345889269,6.86500156392695,FALSE,1.00036098336369
"dYdX2131",2131,"dYdX",5.54765422888796,4.38828736868501,6.66761180318084,FALSE,1.00046391151551
"dYdX2132",2132,"dYdX",5.47912453979464,4.20278588753512,6.66187503583503,FALSE,1.00047235153716
"dYdX2133",2133,"dYdX",4.83770669187062,3.59359515124091,6.00949578437701,FALSE,1.00036574276217
"dYdX2134",2134,"dYdX",4.57555749228653,3.1965436719477,5.81800359364087,FALSE,1.0004408623001
"dYdX2135",2135,"dYdX",4.37640103055007,2.92688009773447,5.65747301768343,FALSE,1.00044971418849
"dYdX2136",2136,"dYdX",3.69520640729944,2.34769053672865,4.97731981784869,FALSE,1.00040139817265
"dYdX2137",2137,"dYdX",3.47131726105637,1.98331412307517,4.81136682768106,FALSE,1.00050882556845
"dYdX2138",2138,"dYdX",3.19491268069882,1.65135852291177,4.58809176196527,FALSE,1.00046970225902
"dYdX2139",2139,"dYdX",2.52299696166851,1.00295873381131,3.96295551131294,FALSE,1.00045144587541
