"","ID","param","mean","pc2.5","pc97.5","overlap0","gel"
"dYdX18",18,"dYdX",4.13407046192515,3.38700506025596,4.94808094360099,FALSE,0.999839886295706
"dYdX19",19,"dYdX",4.13916565704861,3.40840413816794,4.92824861882096,FALSE,0.999838784021835
"dYdX20",20,"dYdX",4.13966125136048,3.42091813697072,4.92095219948944,FALSE,0.999839375260593
"dYdX21",21,"dYdX",4.14078094507092,3.45551034423365,4.89800770104037,FALSE,0.9998403179382
"dYdX22",22,"dYdX",4.14482981773928,3.48149170489085,4.87798276712978,FALSE,0.999840205156555
"dYdX23",23,"dYdX",4.15089604417218,3.48349520685294,4.8804186371799,FALSE,0.999838955723062
"dYdX24",24,"dYdX",4.14560956877167,3.48415133260797,4.87102155081613,FALSE,0.999839695156599
"dYdX25",25,"dYdX",4.13642564525357,3.48832410825548,4.85737056310784,FALSE,0.999840952223419
"dYdX26",26,"dYdX",4.12590296872534,3.48680591613663,4.84776106994029,FALSE,0.999843162564327
"dYdX27",27,"dYdX",4.07103810051899,3.17958285410442,5.07329355753666,FALSE,0.999842810531098
"dYdX28",28,"dYdX",4.07177023250691,3.18752871182232,5.06366585853503,FALSE,0.999843135623702
"dYdX29",29,"dYdX",4.07386054129162,3.19244356657077,5.06252525762415,FALSE,0.999843137846943
"dYdX30",30,"dYdX",4.07591230116274,3.19254211996558,5.06636841685301,FALSE,0.999842691431678
"dYdX31",31,"dYdX",4.07708246376413,3.18277548300932,5.07334406541,FALSE,0.99984185187575
"dYdX32",32,"dYdX",4.07587312611484,3.18402345907841,5.06200669319934,FALSE,0.999841106487228
"dYdX33",33,"dYdX",4.07500407917953,3.20116974346116,5.04503293032864,FALSE,0.99984149820794
"dYdX34",34,"dYdX",4.07972028091777,3.24694269881056,5.0094953641083,FALSE,0.999843153701805
"dYdX35",35,"dYdX",4.07993361372976,3.25474040082979,5.00633944121189,FALSE,0.999843139219929
"dYdX36",36,"dYdX",4.08461392119183,3.26862970318038,5.00794479867195,FALSE,0.999843859602722
"dYdX37",37,"dYdX",4.0842533983302,3.25795645591345,5.01363909118193,FALSE,0.999842844866191
