"","ID","param","mean","pc2.5","pc97.5","overlap0","gel"
"dYdX99",99,"dYdX",0.203592994431263,0.150719389470744,0.256773837044769,FALSE,0.999984643348767
"dYdX100",100,"dYdX",0.201849122633779,0.150354222219275,0.253600735558118,FALSE,0.999985505954401
"dYdX101",101,"dYdX",0.20118144970915,0.149816279023201,0.253194511052534,FALSE,0.999984430354406
"dYdX102",102,"dYdX",0.204702387599023,0.150236069663399,0.260067095091021,FALSE,0.999983875338653
"dYdX103",103,"dYdX",0.202455315056025,0.150437663207718,0.255293272716387,FALSE,0.999987758610466
"dYdX104",104,"dYdX",0.200406532057156,0.150897941937461,0.250490146028329,FALSE,0.999993726541715
"dYdX105",105,"dYdX",0.194553540744146,0.150340297273829,0.239509757786607,FALSE,1.00000347215865
"dYdX106",106,"dYdX",0.193192777921302,0.149992063590378,0.237344470428312,FALSE,1.00000907864688
"dYdX107",107,"dYdX",0.19179616150958,0.150163081331692,0.234614039175816,FALSE,1.0000183245278
"dYdX108",108,"dYdX",0.188351535773339,0.150472219318402,0.227610345461242,FALSE,1.00003449620073
"dYdX109",109,"dYdX",0.183086656868,0.150194189839624,0.217005522362583,FALSE,1.00005979479236
"dYdX110",110,"dYdX",0.177501127559833,0.149899867120372,0.205702869939227,FALSE,1.0000950508563
"dYdX111",111,"dYdX",0.17329224637648,0.149256870407954,0.197689234981775,FALSE,1.00012920151815
"dYdX112",112,"dYdX",0.171045292530378,0.148516994253316,0.193717634043349,FALSE,1.00014906781223
"dYdX113",113,"dYdX",0.169565735812998,0.147784205621414,0.191549069683651,FALSE,1.00016117760763
"dYdX114",114,"dYdX",0.167810016096879,0.146937708102774,0.188907437486187,FALSE,1.00018015036755
"dYdX115",115,"dYdX",0.16635465225965,0.146301555627789,0.186884154653854,FALSE,1.00019730799879
"dYdX116",116,"dYdX",0.164894540208357,0.145572725255978,0.184621595168446,FALSE,1.00021094411431
"dYdX117",117,"dYdX",0.19766453808099,0.151663231041505,0.244235889167663,FALSE,0.999995166127907
"dYdX118",118,"dYdX",0.199819756927237,0.150841651610125,0.249220456538066,FALSE,0.999993340830118
"dYdX119",119,"dYdX",0.200694677783687,0.150588530079664,0.251869388782896,FALSE,0.999993766827044
"dYdX120",120,"dYdX",0.20420447994399,0.150708926435612,0.258543191135877,FALSE,0.999992577708043
"dYdX121",121,"dYdX",0.198768878016861,0.150303881719863,0.24808668049402,FALSE,1.00000198659951
"dYdX122",122,"dYdX",0.193834295497406,0.149491027197441,0.238926331308742,FALSE,1.00001231101501
"dYdX123",123,"dYdX",0.189602800778037,0.149366201109628,0.230794200803624,FALSE,1.00002531124834
"dYdX124",124,"dYdX",0.186570195578479,0.14961334232303,0.224491672597401,FALSE,1.00004316546017
"dYdX125",125,"dYdX",0.18336861081455,0.149147292171016,0.218643673645714,FALSE,1.00006145905564
"dYdX126",126,"dYdX",0.178853639755575,0.148677958399985,0.209856725347798,FALSE,1.00009092865802
"dYdX127",127,"dYdX",0.173970295072365,0.147688517922958,0.200985453256871,FALSE,1.0001244737216
"dYdX128",128,"dYdX",0.16990990677646,0.146346984442148,0.193833446930818,FALSE,1.00015658948483
"dYdX129",129,"dYdX",0.167389320364945,0.14558152270206,0.189422640871025,FALSE,1.00017997418006
"dYdX130",130,"dYdX",0.165194197231244,0.144582336777503,0.186053219809354,FALSE,1.00019908643944
"dYdX131",131,"dYdX",0.16318502103593,0.14406658111437,0.182780178618412,FALSE,1.0002257919113
"dYdX132",132,"dYdX",0.161818579484899,0.143205747072998,0.180993072451764,FALSE,1.0002314071894
"dYdX133",133,"dYdX",0.159748320362576,0.141972162807168,0.178049548165062,FALSE,1.00023744398728
"dYdX134",134,"dYdX",0.158836191882415,0.141229191746441,0.176817376485583,FALSE,1.00023755848661
"dYdX135",135,"dYdX",0.157578274886632,0.140202386887414,0.175192595522033,FALSE,1.00023230543314
